Sr No	StopCode	  StopName	LatLong	Type	Direction	Road Name	Depot	ROUTE 1	ROUTE 2	ROUTE 3	ROUTE 4	ROUTE 5	ROUTE 6	ROUTE 7	ROUTE 8	ROUTE 9	ROUTE 10	ROUTE 11	ROUTE 12	ROUTE 13	ROUTE 14	ROUTE 15	ROUTE 16	ROUTE 17	ROUTE 18	ROUTE 19	ROUTE 20	ROUTE 21	ROUTE 22	ROUTE 23	ROUTE 24	ROUTE 25	ROUTE 26	ROUTE 27	ROUTE 28	ROUTE 29	ROUTE 30
1916	26108	Mahul Village	19.014042,72.890343	Pole	UP	Mahul Road	Anik	6Ltd	361	363	364	373Ltd	430	473	663																						
1923	26115	Mazgaon Dock	19.024277,72.890083	Pole	DN	Mahul Road	Anik	6Ltd	361	363	364	373Ltd	430	473	663																						
1924	26116	Mazgaon Dock	19.02494,72.889885	Pole	UP	Mahul Road	Anik	6Ltd	361	363	364	373Ltd	430	473	663																						
1929	26121	Navjeevan	19.0414180755615,72.893623352050781	Shelter	UP	R.Chemburkar Road	Anik	6Ltd	16Ltd	21Ltd	93Ltd	351	361	362	363	367	369	381	383	430	431	473	481	463	399Ltd	501Ltd	506Ltd										
1948	26140	RCF	19.0338802337646,72.889564514160156	Pole	UP	RCF Colony Road	Anik	363	430																												
1949	26141	RCF Co. gate no.1	19.0355224609375,72.892204284667969	Pole	DN	RCF Colony Road	Anik	363	430																												
1950	26142	RCF Co. gate no.1	19.039192199707,72.893234252929688	Pole	UP	RCF Colony Road	Anik	363	430																												
1951	26143	RCF Hostel	19.0393562316894,72.893463134765625	Pole	DN	RCF Colony Road	Anik	363	430																												
1952	26144	RCF Hostel	19.0391979217529,72.893257141113281	Pole	UP	RCF Colony Road	Anik	363	430																												
1953	26145	RCF Office	19.035171508789,72.89202880859375	Pole	DN	RCF Colony Road	Anik	363	430																												
1954	26146	RCF Office	19.0350875854492,72.892250061035156	Pole	UP	RCF Colony Road	Anik	363	430																												
1965	26157	Shanti Nagar	19.0202503204345,72.875030517578125	Pole	DN	Jay Shankar Yagnik Marg	Anik	6Ltd	45	53	59	60																									
1966	26158	Shanti Nagar	19.020429611206,72.8747329711914	Pole	UP	Jay Shankar Yagnik Marg	Anik	6Ltd	45	53	59	60																									
1977	26169	Thakkar Bappa Colony	19.057804,72.886749	Shelter	DN	S.G.Barve Marg	Anik	350	361	362	363	366	367	369	377	431	463																				
1978	26170	Thakkar Bappa Colony	19.057646,72.886635	Pole	UP	S.G.Barve Marg	Anik	350	361	362	363	366	367	369	377	431	463																				
1986	26178	Umarshi Bappa Chowk	19.0539588928222,72.8869857788086	Shelter	UP	V.N.Purav Marg	Anik	21	371																												
1997	26189	Wadala Road	19.02117,72.890221	Pole	DN	Mahul Road	Anik	6Ltd	361	363	364	373Ltd	430	473	663																						
1998	26190	Wadala Road	19.0251674652099,72.889892578125	Pole	UP	Mahul Road	Anik	6Ltd	361	363	364	373Ltd	430	473	663																						
1999	26191	Wadala Truck Terminal	19.0429821014404,72.879364013671875	Pole	DN	Jay Shankar Yagnik Marg	Anik	6Ltd	45	53	58	59	60																								
2000	26192	Wadala Truck Terminal	19.0362071990966,72.8799057006836	Pole	UP	Jay Shankar Yagnik Marg	Anik	6Ltd	45	53	58	59	60																								
2003	35001	Adarsha Vidyalaya	19.0243015289306,72.876991271972656	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2004	35002	Adarsha Vidyalaya	19.0241794586181,72.8765869140625	Pole	Up	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2007	35005	Amulakh  School	19.0251121520996,72.859664916992188	Steel Shelter	DN	Puranmal Shighani Rd.,	Pratiksha	0090																													
2010	35008	Amulakh School 	19.0246353149414,72.8603286743164	Shelter	Up	R.A.Kedwai Marg	Pratiksha	0090																													
2011	35009	Anik Depot	19.0461654663085,72.878715515136719	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0450																													
2014	35012	Antop Church	19.03267288208,72.86663818359375	Pole	DN	Sheikh Mistry Road	Pratiksha	0090	0140	0150	0430	0670	0750	0760	0880	1,660	1,700	1710	1,720	1,810	3410	5,091															
2015	35013	Antop Church	19.033107757568359,72.8667984008789	Pole	up	Sheikh Mistry Road	Pratiksha	0090	0140	0150	0430	0670	0750	0760	0880	1,660	1,700	1710	1,720	1,810	3410	5,091															
2016	35014	Antop Church	19.033107757568359,72.8667984008789	Pole	Up	Sheikh Mistry Road	Pratiksha	0090	0140	0150	0430	0670	0750	0760	0880	1,660	1,700	1710	1,720	1,810	3410	5,091															
2017	35015	Antop Hill	19.033108,72.866798	Pole	dn	Sheikh Mistry Road	Pratiksha	0670	1660	1700	1,710	1810	3,410																								
2019	35017	Antop Hill	19.0318431854248,72.8644027709961	Shelter	up	Sheikh Mistry Road	Pratiksha	0090	0140	0150	0430	0670	0760	0880	1700	1,710	1,720																				
2020	35018	Antop Hill	19.033108,72.866798	Pole	up	Sheikh Mistry Road	Pratiksha	0750	1660	1810	3,410	5091																									
2021	35019	Antop Hill .	19.0263690948486,72.866127014160156	Shelter	DN	Sheikh Mistry Road	Pratiksha	0090	0140	0150	0430	0750	0760	0880	1,720	5091																					
2024	35022	Antop Hill Police Stn.,	19.0317878723144,72.8635482788086	Shelter	DN	Rawaji Gantra Road	Pratiksha	0090	0140	0150	0750	0760	1,660	1,710	1720	1,810	3,410	5090																			
2025	35023	Antop Hill Police Stn.,	19.0317249298095,72.867103576660156	Pole	DN	Rawaji Gantra Road	Pratiksha	0090	0140	0150	0750	0760	1,660	1,710	1720	1,810	3,410	5090																			
2026	35024	Antop Hill Police Stn.,	19.0318431854248,72.8644027709961	Shelter	up	Rawaji Gantra Road	Pratiksha	0090	0140	0150	0750	0760	1,660	1,710	1720	1,810	3,410	5090																			
2027	35025	Antop Hill Postoffice	19.0219783782958,72.866256713867188	Pole	Up	S.M.Road	Pratiksha	0090	0140	0150	0430	0760	0880	1720	1740																						
2030	35028	Barkat Ali Dargha	19.0182762145996,72.8664779663086	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2031	35029	Barkat Ali Dargha	19.0183391571044,72.866241455078125	Pole	Up	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2033	35031	Barkatalli Darga 	19.0198421478271,72.8657455444336	Pole	Up	Vidyalankar College Rd.,	Pratiksha	1100	1750																												
2034	35032	Bhakati Park	19.033950805664,72.87945556640625	Steel Shelter	dn	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0600																										
2035	35033	Bhakati Park	19.0332221984863,72.8786849975586	Steel Shelter	Up	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0600																										
2036	35034	Bhakati Park Gate	19.0338554382324,72.8794174194336	Pole	dn	Bhakti Park Marg	Pratiksha	0590																													
2041	35039	BMC Ward Office	19.0301666259765,72.854660034179688	Elec.Pole	up	Bhau daji Rd.,	Pratiksha	1640	1660																												
2042	35040	BPT Colony	19.017292022705,72.8643798828125	Pole	DN	Barkatalli Darga Rd.	Pratiksha	0450																													
2043	35041	BPT Colony	18.9641933441162,72.841560363769531	Pole	Up	Barkatalli Darga Rd.	Pratiksha	0450																													
2044	35042	BPT Hall	19.0156688690185,72.8633804321289	Pole	DN	Nadkarni Park Rd.	Pratiksha	0090	0490	1610																											
2050	35048	CGS Dispensary	19.0295791625976,72.862983703613281	Shelter	dn	Rawaji Gantra Road	Pratiksha	0090	0140	0150	0750	0760	1660	1710	1720	1810	3410	5090																			
2051	35049	CGS Dispensary	19.0296669006347,72.863616943359375	Shelter	Up	Rawaji Gantra Road	Pratiksha	0090	0140	0150	0750	0760	1,660	1,710	1720	1,810	3,410	5090																			
2056	35054	Five Garden	19.0199127197265,72.854484558105469	Shelter	Up	Lady jahangir Marg	Pratiksha	0061	0150	0430	0450	0530	0590	0760	0880	1,100	1,610	3150																			
2059	35057	Gandhi Market	19.0324325561523,72.858428955078125	Shelter	Up	Dr.B . Ambedkar Road	Pratiksha	0090	0670	1690	1,710	3150																									
2060	35058	Gandhi Market	19.0325813293457,72.858573913574219	Shelter	Up	Dr.B . Ambedkar Road	Pratiksha	0050	0071	0090	0101	0111	0630	0650	0660	0661	0670	0850	1,650	1,690	1710	2,130	3,050	3150	4,110												
2061	35059	Gandhi Market	19.0337963104248,72.859603881835938	Shelter	DN	Laxmibai Kelkar Rd	Pratiksha	0270	0850	0921	0931	1650	1,690	1,710	3050	3,150	3,510	3540	3,570	3,850	5211																
2063	35061	Gandhi Market	19.0327091217041,72.859146118164062	Shelter	DN	Laxmibai Kelkar Rd	Pratiksha	0050	0071	0081	0091	0111	1710	1910	0211	0221	0251	0301	0660	2130	3681	5061															
2064	35062	Ganesh Nagar	19.0180015563964,72.867935180664062	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2065	35063	Ganesh Nagar	19.018009185791,72.868858337402344	Pole	up	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2068	35066	GTB Nagar Rly Stn	19.0374202728271,72.863456726074219	Shelter	Up	Mukundrao Ambedkar Rd	Pratiksha	0090	0670	0750	0760	1660	1,690	1,700	1710	1,810	2,551	3020	3,120	3,150	3410	4,481	5,091														
2069	35067	GTB Rly Stn	19.0369129180908,72.8626480102539	Pole	Up	Sion Matunga Rd.No-32	Pratiksha	0090	0670	1710	3,150																										
2070	35068	Guru teg bahadur nager stn	19.0369129180908,72.8626480102539	Shelter	up	Mukundrao Ambedkar Rd	Pratiksha	0090	0760	0750	1,660	1690	1,700	1,710	1810	2,551	3,020	3120	3,150	4,481	5091																
2071	35069	Hindu colony	19.021446,72.847008	Steel Shelter	DN	Lakhamshi Nappu Rd.,	Pratiksha	0430	1610	1,660																											
2073	35071	IMAX Cinema	19.0304279327392,72.880256652832031	Pole	DN	Bhakti Park Marg	Pratiksha	0590																													
2076	35074	Indian Hume Pipe Co.	19.0218029022216,72.866180419921875	Pole	DN	Vidyalankar College Rd.,	Pratiksha	1100	1750																												
2077	35075	Indian Hume Pipe Co.	19.0217037200927,72.866226196289062	Pole	Up	Vidyalankar College Rd.,	Pratiksha	1100	1750																												
2080	35078	Indian Oil	19.0163097381591,72.864631652832031	Pole	Up	S.M.Road	Pratiksha	0090	0140	0150	0430	0760	0880	1720	1740																						
2081	35079	Indira Nagar	18.9909572601318,72.855453491210938	Pole	DN	Haji Bandar Marg	Pratiksha	0600																													
2082	35080	Indira Nagar	18.9926013946533,72.854606628417969	Pole	Up	Haji Bandar Marg	Pratiksha	0600																													
2083	35081	Internationa Bus Stn.,	19.0429458618164,72.879364013671875	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0580	0590	0600																								
2086	35084	Kane Nagar	19.0294933319091,72.865921020507812	Shelter	DN	Rawaji Gantra Road	Pratiksha	0090	0140	0150	0750	0760	1,660	1,710	1720	1,810	3,410																				
2087	35085	Kane Nagar	19.0297622680664,72.866096496582031	Shelter	up	Rawaji Gantra Road	Pratiksha	0090	0670	1710																											
2088	35086	Kane Nagar	19.0294704437255,72.866081237792969	Shelter	up	Rawaji Gantra Road	Pratiksha	0140	0150	0750	0760	1660	1,720	1,810	3410	5,091																					
2089	35087	Kane Nagar	19.0292377471923,72.866744995117188	Pole	DN	Sheikh Mistry Road	Pratiksha	0430	0670	0880	1700	1810	5091																								
2091	35089	Kapol nivas	19.0245914459228,72.853523254394531	Shelter	dn	Dr.B . Ambedkar Road	Pratiksha	0050	0301	0650	0660	0670	2,130	3,681																							
2094	35092	Kapol nivas	19.02392578125,72.85223388671875	Shelter	Up	Dr.B . Ambedkar Road	Pratiksha	0050	0111	0650	0660	0670	0850	1,640	1650	0061																					
2097	35095	Khalsa College	19.0251026153564,72.857086181640625	Shelter	DN	Nathalal Parekh Road	Pratiksha	0090	0640	1690	3,150	4110																									
2098	35096	Khalsa College	19.023727416992188,72.857002258300781	Shelter	Up	Nathalal Parekh Road	Pratiksha	0640	1690	3150	4,110																										
2099	35097	Khalsa College	19.0249729156494,72.857803344726562	Steel Shelter	Up	Puranmal Shighani Rd.,	Pratiksha	0090																													
2100	35098	Korba Mithagar	19.0159091949462,72.86419677734375	Pole	DN	BPT Shiwadi Court Rd.,	Pratiksha	0090	0600	1610																											
2101	35099	Korba Mithagar	19.0151329040527,72.863151550292969	Pole	Up	BPT Shiwadi Court Rd.,	Pratiksha	0090	0600	1610																											
2102	35100	LB S College	18.980728149414,72.859222412109375	Pole	DN	Haji Bandar Marg	Pratiksha	0600																													
2104	35102	Maheshwari Udn.	19.0266513824462,72.8550033569336	Shelter	Up	Dr.B . Ambedkar Road	Pratiksha	0090	0670	1640	1,690	1710	3,150																								
2105	35103	Maheshwari Udn.	19.0276012420654,72.855377197265625	Shelter	Up	Dr.B . Ambedkar Road	Pratiksha	0050	0650	0660	0661	0850	1,650	0111																							
2106	35104	Maheshwari Udn.	19.0279827117919,72.856124877929688	Shelter	Up	Dr.B . Ambedkar Road	Pratiksha	0071	0171	0221	0251	0301	2130	3050	4110																						
2110	35108	Maheshwari Udn.	19.027217864990234,72.856903076171875	Shelter	DN	Nathalal Parekh Road	Pratiksha	0090	0640	1690	3150	4110																									
2111	35109	Maheshwari Udn. Bus Station	19.0274028778076,72.857040405273438	Shelter	DN	Dr.B . Ambedkar Road	Pratiksha	0640																													
2112	35110	Maheshwari Udyan	19.028233,72.8563	Shelter	dn	Dr.B . Ambedkar Road	Pratiksha	0160	0301	0650	0660	0661																									
2113	35111	Maheshwari Udyan	19.0273914337158,72.856307983398438	Shelter	dn	Dr.B . Ambedkar Road	Pratiksha	0050	0071	0081	0111	0171	0191	0211	0221	0251	2130	3,530	3,681	4,530	5,021	5,041	5,061	0017	0138	5,037	0526										
2116	35114	Maheshwari Udyan	19.025484085083,72.854316711425781	Shelter	dn	Dr.B . Ambedkar Road	Pratiksha	0270	0850	0921	0931	3050	3,510	3,540	3570	3,850	5,201	5211																			
2126	35124	Nadkarni Park	19.0179424285888,72.86237335205078	Shelter	dn	Nadkarni Park Rd.	Pratiksha	0090	0490	1610																											
2127	35125	Nadkarni Park	19.0159225463867,72.863189697265625	Shelter	Up	Nadkarni Park Rd.	Pratiksha	0090	0490	1610																											
2129	35127	Pratikasha ngr no 1	19.0411586761474,72.8687744140625	Pole	Up	Pratiksha Nagar  Rd	Pratiksha	0140	0150	0430	0880	1690	1,720	3,020	3120	3,150	2,551	4481																			
2130	35128	Pratiksha Nagar Depot	19.0446949005126,72.874824523925781	Shelter	DN	Pratiksha Nagar  Rd	Pratiksha	0140	0150																												
2131	35129	Pratiksha Nagar Depot	19.0448036193847,72.87469482421875	Shelter	DN	Pratiksha Nagar  Rd	Pratiksha	0430	0880	1720																											
2133	35131	Pratiksha Nagar NO 1	19.0403594970703,72.8687515258789	Shelter	DN	Pratiksha Nagar  Rd	Pratiksha	0140	0150	0430	0880	1690	1,720	3,150	3020	3,120	2,551	4481																			
2134	35132	Pratiksha Ngr dpot	19.0436077117919,72.875450134277344	Pole	Up	Pratiksha Nagar  Rd	Pratiksha	0140	0150	0430	0880	1690	1,720	3,020	3120	3,150	2,551	4481																			
2136	35134	Ranilaxmibai Chowk	19.046939849853516,72.865486145019531	Shelter	DN	Laxmibai Kelkar Rd	Pratiksha	0630																													
2139	35137	Ranilaxmibai Chowk	19.0471286773681,72.865653991699219	Shelter	DN	Laxmibai Kelkar Rd	Pratiksha	0050																													
2140	35138	Ranilaxmibai Chowk	19.0434436798095,72.864425659179688	Shelter	DN	Laxmibai Kelkar Rd	Pratiksha	0270	0850	0921	0931	1650	3,050	3510	3540	3,570	3850	5211																			
2141	35139	Ranilaxmibai Chowk	19.0413837432861,72.8628158569336	Shelter	Up	Laxmibai Kelkar Rd	Pratiksha	0050	0270	0630	0650	0660	0661	0850	1650	1,690	1,730	1750	2,130	3,050	3510	3,530	3,540	3570	3,850	4,110	4630										
2143	35141	Ranilaxmibai Chowk	19.043737411499,72.863975524902344	Shelter	Up	Laxmibai Kelkar Rd	Pratiksha	0050	0630	0650	0660	0661	0850	1,650	1690	1,730	1,750	3570	4,630																		
2144	35142	Ravali Camp	19.0364627838134,72.868331909179688	Pole	DN	Hemant Manjarekar Marg	Pratiksha	0140	0150	0430	0880	1690	1,720	3,150	3020	3,120	2,551	4481																			
2146	35144	Roopam Cinema	19.0413818359375,72.86492919921875	Shelter	Up	Sion Road No 8	Pratiksha	0750	0760	1660	1,690	1700	1,810	2,551	3020	3,120	3,410	4481	5,091																		
2147	35145	Ruia College	19.0223083496093,72.85150146484375	Shelter	DN	Dr.B . Ambedkar Road	Pratiksha	0050	0301	0650	0660	0670	2,130	3,530	3681	4,530																					
2148	35146	Ruia College	19.0221996307373,72.8504867553711	Steel Shelter	DN	Lady jahangir Marg	Pratiksha	0430	1610																												
2149	35147	Ruia College	19.0216693878173,72.8516616821289	Shelter	Up	Lady jahangir Marg	Pratiksha	0061	0150	0430	0450	0530	0590	0760	0880	1,100	1,610	3150																			
2155	35153	Samaj Mandir Hall	19.0391807556152,72.8679428100586	Shelter	DN	Hemant Manjarekar Marg	Pratiksha	0140	0150	0430	0880	1690	1,720	3,150	3020	3,120	2,551	4481																			
2157	35155	Sardar Nagar No2	19.0375156402587,72.865608215332031	Shelter	Up	Mukundrao Ambedkar Rd	Pratiksha	0090	0140	0150	0430	0670	0750	0760	0880	1,660	1,690	1700	1,710	1,720	1810	3,020	3,120	3410	2,551	4,481	5091	3150									
2158	35156	Sardar Ngr No 2	19.0371799468994,72.8668212890625	Shelter	dn	Mukundarao Ambedkar Rd.	Pratiksha	0090	0670	0750	0760	1660	1690	1700	1710	1810	3410																				
2159	35157	Sardar Ngr No 4	19.0352745056152,72.867439270019531	Shelter	DN	Mukundrao Ambedkar Rd	Pratiksha	0140	0150	0430	0880	1690	1720	3020	3120	3150	2551	4481			3410	5091															
2160	35158	Sardar Ngr No 4	19.0354652404785,72.8674087524414	Pole	up	Mukundrao Ambedkar Rd	Pratiksha	0090	0140	0150	0430	0670	0750	0760	0880	1660	1700	1710	1720	1810	3410	5091															
2161	35159	Shanti Nagar	19.0204830169677,72.875167846679688	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2162	35160	Shanti Nagar	19.020429611206,72.8747329711914	Pole	Up	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0590	0600																									
2163	35161	Shiv Koliwada	19.0398159027099,72.8646011352539	Pole	Up	Sion Road No 8	Pratiksha	0750	0760	1660	1690	1,700	1810	2551	3,020	3120	3410	4,481	5091																		
2172	35170	Sion Hospital	19.036075592041,72.859977722167969	Steel Shelter	Up	Sulochana  Shetty Marg	Pratiksha	1,730	1750	4630																											
2173	35171	Sion Hospital	19.0348873138427,72.85992431640625	Shelter	Up	Tamil Sangam Marg	Pratiksha	0090	0670	1710	3,150																										
2176	35174	Sundervihar Hotel/BEST  Receiving Centre	19.0424213409423,72.8726806640625	Pole	Up	Pratiksha Nagar  Rd	Pratiksha	0140	0150	0430	0880	1690	1,720	3,020	3120	3,150	2,551	4481																			
2179	35177	Tilak Hospital	19.0377521514892,72.8612060546875	Shelter	DN	Laxmibai Kelkar Rd	Pratiksha	0050	0160	0353	0411	0453	5,021	5,041	5261	5,037																					
2184	35182	Tilak Hospital	19.0361061096191,72.860023498535156	Shelter	Up	Laxmibai Kelkar Rd	Pratiksha	0050	0630	0650	0660	0661	0850	1650	1690	1730	1750	4630																			
2186	35184	Tilak Hospital	19.037612915039,72.860610961914062	Shelter	Up	Laxmibai Kelkar Rd	Pratiksha	0270	3530	3540	3,681	3850	4,530	0017	0037	0138																					
2187	35185	Transit Camp	19.0416984558105,72.870643615722656	Pole	DN	Pratiksha Nagar  Rd	Pratiksha	0140	0150	0430	0880	1,690	1,720	3150	3020	3,120	2,551	4481																			
2188	35186	Transit Camp	19.0419063568115,72.870635986328125	Pole	Up	Pratiksha Nagar  Rd	Pratiksha	0140	0150	0430	0880	1690	1,720	3,020	3120	3,150	2,551	4481																			
2191	35189	V.J.T.I	19.0220623016357,72.856880187988281	Shelter	DN	Nathalal Parekh Road	Pratiksha	0090	0640	1690	3150	4110																									
2192	35190	V.J.T.I	19.0220527648925,72.856658935546875	Shelter	Up	Nathalal Parekh Road	Pratiksha	0640	1690	3150	4,110																										
2196	35194	Wadala  Stn.,	19.0163650512695,72.858345031738281	Shelter	Up	david S. Beranto Rd..,	Pratiksha	0140	1750	3150																											
2197	35195	Wadala  Stn.,	19.017837524414,72.85943603515625	Shelter	Up	R.A.Kedwai Marg	Pratiksha	0090	3150																												
2201	35199	Wadala Bridge	19.0185031890869,72.862419128417969	Shelter	dn	Nana Fadnis Rd.	Pratiksha	0430	0590	0880	1,100	1610	1,720	0530																							
2203	35201	Wadala Bridge	19.0188617706298,72.860633850097656	Shelter	Up	Nana Fadnis Rd.	Pratiksha	0061	0140	0150	0430	0450	0590	0880	0760	1,100	1,610	0530	1,740	1,720																	
2204	35202	Wadala Bridge	19.01889038085935,72.860580444335938	Shelter	Up	Nana Fadnis Rd.	Pratiksha	0061	0140	0150	0430	0450	0590	0880	0760	1,100	1,610	0530	1,740	1,720																	
2205	35203	Wadala Church	19.0192222595214,72.8567123413086	Elec.Pole	DN	david S. Beranto Rd..,	Pratiksha	0140	3150	4110																											
2206	35204	Wadala Church	19.0220680236816,72.8567886352539	Elec.Pole	Up	david S. Beranto Rd..,	Pratiksha	3,150	4110																												
2207	35205	Wadala Church	19.0190238952636,72.855194091796875	Pole	DN	Katrak Road	Pratiksha	0640	1690	1720																											
2209	35207	Wadala Church	19.0196132659912,72.856529235839844	Pole	Up	Nana Fadnis Rd.	Pratiksha	0061	0140	0150	0430	0450	0590	0880	0760	1,100	1,610	0530	1,740	1,720																	
2210	35208	Wadala Gate No.4	19.0224857330322,72.860847473144531	Shelter	DN	R.A.Kedwai Marg	Pratiksha	0090	0101	0201	0630																										
2211	35209	Wadala Gate No.4	19.0213279724121,72.860580444335938	Shelter	Up	R.A.Kedwai Marg	Pratiksha	0090	0101	0201	0630																										
2212	35210	Wadala Trunk Terminal	19.036428451538,72.880195617675781	Pole	DN	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0580	0590	0600																								
2213	35211	Wadala Trunk Terminal	19.0362071990966,72.8799057006836	Pole	Up	jr.Arunkumar Vaidya Marg	Pratiksha	0061	0450	0530	0580	0590	0600																								
2261	18048	Chunabathi Phatak	19.0589580535888,72.871505737304688	Shelter	UP E/W 	L.B.S.Marg	Dharavi	3,020	4080	2130	3,120	4110	3,050	3,410																							
2292	18079	Kalakilla	19.047968,72.859177		UP S/N	Sant  Rohidas Road	Dharavi	0111	1660	1800	1810	2551	3481	3561	3751	3760	4481	3710																			
2320	18107	Kherwadi Police Stn.	19.0647468566894,72.850204467773438	Shelter 	DN	Sharda Devi Marg	Dharavi	0750	2154	3170																											
2330	18117	Maharashtra vajan Kata	19.0540752410888,72.8680191040039	Pole	UP E/W 	L.B.S.Marg	Dharavi	3,020	4080	2130	3,120	4110	3,050	3,410																							
2375	18162	R.L. Chowk	19.041576385498,72.862968444824219	Shelter 	UP E/W 	Road  no.24	Dharavi	071	0101	0221	0251	0301	3,020	3,410	4110																						
2411	11002	A. Patil Sports Comp. / Banganga	19.0505275726318,72.914154052734375	Pole	UP	B.S.Devshi Marg	Deonar	3600	0931																												
2412	11003	Acharya Garden	19.0514183044433,72.9005355834961	Shelter	DN	Alloys Soaris Road	Deonar	3640	3731																												
2413	11004	Acharya Garden	19.0533275604248,72.899887084960938	Shelter	UP	Alloys Soaris Road	Deonar	3640	3731																												
2414	11005	Acharya Garden	19.0521488189697,72.901443481445312	Shelter	DN	V. N. Purav Marg	Deonar	3520	3760	3731	3741	3821	4931	5031	5041	5051	5211	0526	5037	5057	5927																
2415	11006	Acharya Garden	19.052562713623,72.899284362792969	Shelter	UP	V. N. Purav Marg	Deonar	3520	3620	3760	3741	3821	4931	5031	5041	5051	5211	0526	5037	5057	5927																
2420	11011	Agarwadi	19.0455131530761,72.925918579101562	Pole	DN	Y.B.Chavan Marg	Deonar	3800	501	5031	5041	5051	5061	5081	5191	5201	5211	5261	5037	5057	5927																
2421	11012	Agarwadi	19.0451774597167,72.925079345703125	Pole	UP	Y.B.Chavan Marg	Deonar	3800	5011	5031	5041	5051	5061	5081	5191	5201	5211	5261	5037	5057	5927																
2426	11017	Anushakti Nagar	19.042589187622,72.92657470703125	Shelter	UP	V. N. Purav Marg	Deonar	3520	3600	3640	3800	6630	0211	3551	3991																						
2433	11024	Anushakti Nagar(FOR NIGHT)	19.0431060791015,72.926155090332031	Shelter	DN	V. N. Purav Marg	Deonar	3520																													
2450	11041	BARC Gate No. 6	19.0422325134277,72.9337158203125	Shelter	DN	V. N. Purav Marg	Deonar	3520	3600	3640	3780	3800	6630	0211	3551	3991																					
2451	11042	BARC Gate No. 6	19.0421257019042,72.933036804199219	Shelter	UP	V. N. Purav Marg	Deonar	3520	3600	3640	3780	3800	6630	0211	3551	3991																					
2452	11043	Basant Cinema	19.0459728240966,72.904121398925781	Shelter	DN	Dr. C. Gidwani Road	Deonar	3620	6630	0061	0211	0931	3991	5011	5061	5261																					
2453	11044	Basant Cinema	19.0456428527832,72.904014587402344	Shelter	UP	Dr. C. Gidwani Road	Deonar	3620	6630	0061	0211	0931	3991	5011	5061	5261																					
2459	11050	BEST STAFF QTRS.	19.0471687316894,72.914016723632812	Pole	UP	B.S.Devshi Marg	Deonar	3600	0931																												
2472	11063	Cheeta Camp	19.0385704040527,72.944793701171875	Shelter	DN	V. N. Purav Marg	Deonar	3520	3600	3640	3780	6630	0211	3551	3991																						
2473	11064	Cheeta Camp	19.038366317749,72.944625854492188	Shelter	UP	V. N. Purav Marg	Deonar	3520	3600	3640	3780	3800	6630	0211	3551	3991																					
2474	11065	Chembur Colony	19.0456829071044,72.894462585449219	Pole	DN	Dr. C. Gidwani Road	Deonar	3620	3640	6630	0061	0211	0931	3731	3991	5011	5061	5261																			
2475	11066	Chembur Colony	19.0461654663085,72.89324951171875	Shelter	UP	Dr. C. Gidwani Road	Deonar	3620	3640	6630	0061	0211	0931	3731	3991	5011	5061	5261																			
2476	11067	Children's Home	19.0429286956787,72.928497314453125	Shelter	DN	V. N. Purav Marg	Deonar	3520	3600	3640	3800	6630	0211	3551	3991																						
2477	11068	Children's Home	19.0426979064941,72.928703308105469	Shelter	UP	V. N. Purav Marg	Deonar	3520	3600	3640	3800	6630	0211	3551	3991																						
2485	11076	Dattaguru Co-op.Hsg. Soc.	19.0479755401611,72.920181274414062	Pole	DN	Mahalaxmi Mandir Rd.	Deonar	3640	3710																												
2486	11077	Dattaguru Co-op.Hsg. Soc.	19.0478591918945,72.9203109741211	Pole	UP	Mahalaxmi Mandir Rd.	Deonar	3640	3710																												
2488	11079	Deonar Depot	19.0458965301513,72.91204833984375	Pole	DN	V. N. Purav Marg	Deonar	3520	6630	0061	0211	0921	0931	3551	3741	3821	3991	4931	5011	5031	5041	5051	5061	5081	5211	0526	5037	5057	5261	5927							
2489	11080	Deonar Depot	19.0455322265625,72.911369323730469	Shelter	UP	V. N. Purav Marg	Deonar	3520	6630	0211	0921	0931	3551	3741	3821	3991	4931	5011	5031	5041	5051	5061	5081	5151	5191	5201	5211	0526	0606	5037	5057	5927					
2490	11081	Deonar Gaon	19.0501556396484,72.919731140136719	Pole	DN	Mahalaxmi Mandir Rd.	Deonar	3640	3710																												
2491	11082	Deonar Gaon	19.0503253936767,72.919883728027344	Pole	UP	Mahalaxmi Mandir Rd.	Deonar	3640	3710																												
